Name,Value,Up_Unc,Low_Unc
rho_star,0.009633868985606073,2.0804918648526308e-05,2.0652011527748718e-05
m_star,1.2304728272098502,0.04465152786324822,0.04481597409701554
r_star,5.633665618150253,0.06722088665505321,0.0695269237031706
log_rho_gp,5.417047997393992,0.1269352215464945,0.10872679474495328
log_sigma_gp,0.01904377758109533,0.176830340335328,0.14873434933231933
t0_1,3517.582312761775,9.960882425730233e-05,9.744877525008633e-05
period_1,42.29584102825844,2.2166851501026485e-05,2.179407455571436e-05
r_pl_1,9.228802846353737,0.21047410291817137,0.18556467727744597
a_1,0.254738553042156,0.0030438856564905057,0.0031293744448812164
ror_1,0.015012857611910686,0.00027802711270900893,0.0002442959802638773
b_1,0.8494811839426859,0.013236611124553987,0.015384057140886087
m_pl_1,240.06314019620868,9.996434710221223,10.047621924752207
ecc_1,0.1528640514466007,0.01878887999788237,0.017204396142184608
omega_1,-0.31496403550287316,0.29240215259597446,0.2392493777467985
K_1,38.786979874765805,1.300875074958583,1.307343912520281
u_1,0.16963138613427498,1.1627720005883138,1.1540111093970666
u_2,0.17702817172709961,1.2279672058742717,1.1799395873207972
t0_2,3380.900000116879,9.956343865269446e-05,9.930950773195946e-05
period_2,63.52966566406026,0.006271469296763144,0.006172704508230709
r_pl_2,25.368935900654307,17.004204133236733,16.547727167424704
a_2,0.33411118534537493,0.003993231559727952,0.004101644344511369
ror_2,0.04129207736043937,0.027665681181777244,0.026927968227578654
b_2,0.5024335873077344,0.3416784131227548,0.34574338538587257
m_pl_2,256.75648117181186,12.157500759380866,11.855588261884293
ecc_2,0.18598297623631566,0.023086602033190684,0.019194678865336906
omega_2,2.656220244889047,0.21328576558233836,0.20720343987630896
K_2,36.45805960061051,1.4142275618099163,1.4452028447468592
t0_3,3612.999999879922,9.961329169527744e-05,9.91223419077869e-05
period_3,422.99970490395185,0.042773748441220505,0.04187567175995355
r_pl_3,25.200504037792953,16.776711596975986,16.5829432791258
a_3,1.1826048190361043,0.01415428979658053,0.014541652977824143
ror_3,0.04100582452396445,0.027308373050198828,0.026976196603994196
b_3,0.5008519422817916,0.3399529730935743,0.33893736931318874
m_pl_3,378.111731014249,27.61539935051269,26.9594082958007
ecc_3,0.041594127361385166,0.03291097355222926,0.026798826178568734
omega_3,0.38694900718547165,0.9897618940467593,1.2108110705278707
K_3,28.05657833413887,1.9159826531771529,1.8875589099629195
