Name,Value,Up_Unc,Low_Unc
rho_star,0.009633906247593282,2.1155696913735186e-05,2.0866235971098157e-05
m_star,1.229589366980243,0.04676348402110131,0.0455095825662859
r_star,5.632356877393821,0.07090263919987105,0.07061424333016664
log_rho_gp,5.413892262064476,0.12518887066944462,0.10958206188451314
log_sigma_gp,0.019321267127558706,0.1720647189747627,0.1466318320710536
t0_1,3517.5823129201317,0.00010076129638036946,9.85014180514554e-05
period_1,42.29583660279299,2.228739703014071e-05,2.1714064885713924e-05
r_pl_1,9.706145307065706,0.16232864196035024,0.15421159448556487
a_1,0.2546778384911639,0.003188838743080572,0.0031801456702000713
ror_1,0.01578350442391531,0.00017080914319923118,0.0001416352928141837
b_1,0.8566829752822898,0.011016537092521927,0.01268349573790073
m_pl_1,240.19215249843774,9.846418816313587,9.767140516700863
ecc_1,0.15772109866751896,0.0195855778879247,0.017764194726800936
omega_1,-0.43071138986710955,0.24014410244379208,0.19560311268415698
K_1,38.83905435161492,1.265598769958764,1.2672330404709982
u_1,0.08586415974643814,0.1312579379035248,0.06396459071147645
u_2,0.31378595933089337,0.08243385117315177,0.12278579524267219
t0_2,3380.9000008624826,9.803255443330272e-05,9.886987618301646e-05
period_2,63.52966371076086,0.006218480572186991,0.006254255079710447
r_pl_2,25.457054561573035,16.523614850816738,16.431242148970902
a_2,0.33403249189555634,0.004182331807896565,0.004170081195858879
ror_2,0.04144980387171392,0.026828765645597358,0.026753980290733576
b_2,0.5000133371491658,0.3383331379747532,0.338279444584215
m_pl_2,257.91387630624865,11.906055416763422,12.003544332462411
ecc_2,0.1833507930454884,0.02075467775053408,0.0176513658507943
omega_2,2.7039281161672735,0.20640013233108245,0.2033350857385554
K_2,36.600797415879505,1.3790858162623536,1.4345620683348272
t0_3,3613.0000003910973,9.712531709737959e-05,9.742217571329093e-05
period_3,422.99956439024584,0.04187367884134119,0.0420317347440573
r_pl_3,25.6964622722264,16.6647328544489,16.9338989071757
a_3,1.1823111363227319,0.014812332148246347,0.014741394391327881
ror_3,0.04182739708622207,0.027094738835480123,0.027563719652347028
b_3,0.5001518573593599,0.3391748044372237,0.34064575308224354
m_pl_3,379.9750579776256,27.098780572951057,26.631954392705893
ecc_3,0.04070212335930065,0.03337712452707521,0.026147262558702297
omega_3,0.36911690574068046,1.0009255572941207,1.2131969358222054
K_3,28.197315880575555,1.891625596825957,1.8723993806830563
