System	T_eff	M	R	age	$v\sin i$	References	
HD 332231	6089}_{-96}^{+97}$	1.13 +or- 0.08	1.28}_{-0.04}^{+0.04}$	4.30}_{-1.90}^{+2.50}$	5.63 +or- 0.11	56,57	
HD 3167	5261 +or- 60	0.84}_{-0.04}^{+0.05}$	0.88}_{-0.01}^{+0.01}$	7.80 +or- 4.30	2.10 +or- 0.40	58,59	
HD 17156	6079 +or- 56	1.30 +or- 0.07	1.49 +or- 0.04	3.37}_{-0.47}^{+0.20}$	4.18 +or- 0.31	60,61	
HD 63433	5640 +or- 74			0.41 +or- 0.23	7.30 +or- 0.30	62	
HD 80606	5584 +or- 13	1.02 +or- 0.06	1.04 +or- 0.04	4.70 +or- 0.60	1.70 +or- 0.30	63,64	
HD 106315	6364 +or- 87	1.15 +or- 0.04	1.27 +or- 0.02	4.00 +or- 1.00	13.00 +or- 0.28	65,66	
HD 149026	6147 +or- 50	1.34 +or- 0.02	1.54}_{-0.04}^{+0.05}$	2.90 +or- 0.30	7.70 +or- 0.80	21,29	
HD 189733	5050 +or- 50	0.84 +or- 0.04	0.75 +or- 0.03	6.20 +or- 3.40	3.25 +or- 0.02	21,67	
HD 209458	6117 +or- 50	1.15 +or- 0.04	1.16 +or- 0.01	4.00 +or- 1.20	4.80 +or- 0.20	21,68	
HIP 67522	5675 +or- 75	1.22 +or- 0.05	1.38 +or- 0.06	0.02 +or- 0.00	49.21}_{-0.95}^{+0.97}$	69,70	
K2-25	3207 +or- 58	0.26 +or- 0.01	0.29 +or- 0.01	0.73 +or- 0.08	8.90 +or- 0.60	71,72	
K2-29	5358 +or- 38	0.94 +or- 0.02	0.86 +or- 0.01	2.60}_{-2.35}^{+1.20}$	3.70 +or- 0.50	73	
K2-34	6131 +or- 47	1.20 +or- 0.03	1.38 +or- 0.05	2.88}_{-0.24}^{+0.26}$	5.00}_{-1.40}^{+1.30}$	74	
K2-140	5585 +or- 120	0.96}_{-0.04}^{+0.06}$	1.06}_{-0.06}^{+0.07}$	9.80}_{-4.60}^{+3.40}$	2.51 +or- 0.38	75,76	
K2-232	6154 +or- 60	1.19}_{-0.03}^{+0.03}$	1.16 +or- 0.02	1.43}_{-0.75}^{+0.82}$	5.15 +or- 0.62	77,78	
K2-290	6302 +or- 120	1.19 +or- 0.07	1.51}_{-0.08}^{+0.08}$	4.00}_{-0.80}^{+1.60}$	6.90}_{-0.60}^{+0.50}$	79	
KELT-1	6516 +or- 49	1.33 +or- 0.06	1.47}_{-0.04}^{+0.04}$	1.75 +or- 0.25	56.00 +or- 2.00	80	
KELT-6	6272 +or- 61	1.13 +or- 0.06	1.53}_{-0.14}^{+0.14}$	4.90}_{-0.46}^{+0.66}$	4.12 +or- 0.26	81	
KELT-7	6789}_{-49}^{+50}$	1.53}_{-0.05}^{+0.07}$	1.73}_{-0.04}^{+0.04}$	1.20 +or- 0.20	69.30 +or- 0.20	82,51	
KELT-9	9600 +or- 400	2.32 +or- 0.16	2.42 +or- 0.06	0.30 +or- 0.00	116.90 +or- 1.80	83,84	
KELT-17	7454 +or- 49	1.64}_{-0.06}^{+0.07}$	1.65}_{-0.06}^{+0.06}$	0.65 +or- 0.15	44.20}_{-1.30}^{+1.50}$	85	
KELT-19	7500 +or- 110	1.62}_{-0.20}^{+0.25}$	1.83 +or- 0.10	1.10 +or- 0.10	84.20 +or- 2.00	86	
KELT-21	7598}_{-84}^{+81}$	1.46}_{-0.03}^{+0.03}$	1.64 +or- 0.03	1.60 +or- 0.10	146.03 +or- 0.48	87	
KELT-25	8280}_{-180}^{+440}$	2.18}_{-0.11}^{+0.12}$	2.26}_{-0.05}^{+0.05}$	0.46}_{-0.14}^{+0.12}$	114.20 +or- 1.20	88	
KELT-26	8640}_{-240}^{+500}$	1.92}_{-0.16}^{+0.14}$	1.80}_{-0.05}^{+0.05}$	0.43}_{-0.25}^{+0.31}$	12.28}_{-0.82}^{+0.78}$	88	
Kepler-8	6213 +or- 150	1.23 +or- 0.07	1.50 +or- 0.04	3.80 +or- 1.50	8.90 +or- 1.00	9,29	
Kepler-9	5774 +or- 60	1.02}_{-0.04}^{+0.03}$	0.96 +or- 0.02	3.00 +or- 1.00	2.74 +or- 0.40	89,90	
Kepler-13	7650 +or- 250	1.72 +or- 0.10	1.71 +or- 0.04	0.71}_{-0.15}^{+0.18}$	62.70 +or- 0.20	91,92	
Kepler-17	5781 +or- 85	1.07}_{-0.16}^{+0.05}$	0.98}_{-0.05}^{+0.02}$	2.90}_{-1.60}^{+1.50}$	4.70 +or- 1.00	93	
Kepler-25	6270 +or- 79	1.17}_{-0.03}^{+0.03}$	1.32}_{-0.01}^{+0.02}$	2.75 +or- 0.30	8.20 +or- 0.20	94,95	
Kepler-30	5498 +or- 54	0.99 +or- 0.08	0.95 +or- 0.12	2.00 +or- 0.80	1.94 +or- 0.50	96,97	
Kepler-50	6225 +or- 66	1.24 +or- 0.05	1.58 +or- 0.02	3.80 +or- 0.80	8.00}_{-1.00}^{+1.20}$	98	
Kepler-56	4840 +or- 97	1.32 +or- 0.13	4.23 +or- 0.15	3.50 +or- 1.30	1.70 +or- 1.00	99	
Kepler-63	5576 +or- 50	0.98}_{-0.04}^{+0.04}$	0.90}_{-0.02}^{+0.03}$	0.21 +or- 0.05	5.60 +or- 0.80	100	
Kepler-65	6211 +or- 66	1.25}_{-0.02}^{+0.02}$	1.44}_{-0.03}^{+0.03}$	2.90 +or- 0.70	10.40 +or- 0.60	98	
Kepler-89	6182 +or- 82	1.28 +or- 0.05	1.52 +or- 0.14	3.90}_{-0.20}^{+0.30}$	7.30 +or- 0.60	101	
Kepler-408	6088 +or- 65	1.05 +or- 0.04	1.25 +or- 0.05	4.70 +or- 1.20	2.80 +or- 1.00	102	
Kepler-410	6375 +or- 44	1.21}_{-0.03}^{+0.03}$	1.35 +or- 0.01	2.76 +or- 0.54	12.90 +or- 0.60	103	
Kepler-420	5520 +or- 80	0.99 +or- 0.05	1.13 +or- 0.14	9.30 +or- 0.30	7.30 +or- 0.60	104	
Kepler-432	5020 +or- 60	1.32}_{-0.07}^{+0.10}$	4.06}_{-0.08}^{+0.12}$	9.30}_{-1.00}^{+0.80}$	2.70 +or- 0.50	9	
Kepler-448	6820 +or- 120	1.45 +or- 0.09	1.63 +or- 0.15	1.40 +or- 0.50	66.43}_{-0.95}^{+1.00}$	105,50	
MASCARA-1	7554 +or- 150	1.72 +or- 0.07	2.10 +or- 0.20	1.00 +or- 0.20	109.00 +or- 3.00	106	
MASCARA-2	8730}_{-260}^{+250}$	1.76}_{-0.20}^{+0.14}$	1.56}_{-0.06}^{+0.06}$	0.20}_{-0.05}^{+0.10}$	114.00 +or- 3.00	107	
MASCARA-3	6508 +or- 49	1.46}_{-0.06}^{+0.06}$	1.51 +or- 0.02	0.78}_{-0.42}^{+0.61}$	19.76 +or- 0.16	108	
MASCARA-4	7800 +or- 200	1.75 +or- 0.05	1.92 +or- 0.11	0.70 +or- -0.20	46.50 +or- 1.00	109	
NGTS-2	6450 +or- 50	1.30 +or- 0.03	1.62 +or- 0.09	2.70 +or- 0.20	15.91 +or- 0.49	110	
Qatar-1	4910 +or- 100	0.84}_{-0.04}^{+0.04}$	0.80 +or- 0.02	8.90 +or- 3.70	1.70 +or- 0.30	21,111	
Qatar-2	4645 +or- 50	0.73 +or- 0.02	0.70 +or- 0.01	9.40 +or- 3.20	2.80 +or- 0.50	112,113	
TOI-1268	5257 +or- 40	0.90 +or- 0.13	0.86 +or- 0.02	280.00 +or- 90.00	4.30}_{-0.45}^{+0.55}$	114	
TOI-1333	6274 +or- 97	1.46}_{-0.08}^{+0.08}$	1.92}_{-0.06}^{+0.06}$	2.33}_{-0.56}^{+0.71}$	14.20 +or- 0.50	115	
TOI-1518	7300 +or- 100	1.79 +or- 0.26	1.95 +or- 0.05	-	74.40 +or- 2.30	116	
TOI-2109	6540 +or- 16	1.45 +or- 0.07	1.70}_{-0.06}^{+0.06}$	1.77}_{-0.68}^{+0.88}$	81.20 +or- 1.60	117	
TOI-251	5875}_{-190}^{+100}$	1.04}_{-0.01}^{+0.01}$	0.88}_{-0.05}^{+0.04}$	0.18 +or- 0.14	11.50 +or- 1.00	118	
TOI-451	5550 +or- 56	0.95 +or- 0.02	0.88 +or- 0.03	0.13 +or- 0.01	7.90 +or- 0.50	119	
TOI-811	6107 +or- 77	1.32}_{-0.07}^{+0.05}$	1.27}_{-0.09}^{+0.06}$	0.12}_{-0.04}^{+0.04}$	7.11 +or- 0.50	120	
TOI-852	5768}_{-81}^{+84}$	1.32}_{-0.04}^{+0.05}$	1.71 +or- 0.04	4.04}_{-0.76}^{+0.68}$	14.50 +or- 0.50	120	
TOI-942	4928}_{-85}^{+125}$	0.79}_{-0.03}^{+0.04}$	1.02}_{-0.02}^{+0.02}$	0.09 +or- 0.07	14.30 +or- 0.50	118	
TRAPPIST-1	2557 +or- 47	0.09 +or- 0.00	0.12 +or- 0.00	7.60 +or- 2.20	2.04 +or- 0.18	121,122	
TrES-1	5226 +or- 50	0.89 +or- 0.05	0.82 +or- 0.02	3.70}_{-2.80}^{+3.40}$	1.30 +or- 0.30	9,123	
TrES-2	5850 +or- 50	0.99 +or- 0.06	0.96 +or- 0.02	5.00}_{-2.10}^{+2.70}$	1.00 +or- 0.60	9,124	
TrES-4	6295 +or- 65	1.45 +or- 0.05	1.81 +or- 0.08	2.20 +or- 0.40	8.10 +or- 1.10	9,125	
V1298 Tau	4970 +or- 120	1.13 +or- 0.05	1.41}_{-0.02}^{+0.00}$	0.02 +or- 0.00	24.77 +or- 0.19	126,127,128	
WASP-3	6340 +or- 90	1.11}_{-0.06}^{+0.08}$	1.30}_{-0.04}^{+0.05}$	2.10 +or- 1.20	13.90 +or- 0.03	9,129	
WASP-4	5540 +or- 55	0.93 +or- 0.06	0.91 +or- 0.02	7.00 +or- 2.90	2.14}_{-0.35}^{+0.38}$	7,130	
WASP-5	5770 +or- 65	1.03 +or- 0.05	1.09 +or- 0.04	5.60 +or- 2.20	3.20 +or- 0.30	9,131	
WASP-6	5375 +or- 65	0.84 +or- 0.07	0.86 +or- 0.03	11.00}_{-7.00}^{+3.00}$	1.60}_{-0.17}^{+0.27}$	9,132	
WASP-7	6520 +or- 70	1.32 +or- 0.07	1.48 +or- 0.09	2.40 +or- 1.00	14.00 +or- 2.00	133,134	
WASP-8	5690 +or- 36	1.09 +or- 0.03	0.98 +or- 0.02	4.00 +or- 1.00	1.90 +or- 0.05	135,136	
WASP-11	4900 +or- 65	0.81 +or- 0.04	0.77 +or- 0.01	7.60}_{-3.00}^{+5.80}$	1.04 +or- 0.15	9,49	
WASP-12	6313 +or- 52	1.43}_{-0.09}^{+0.11}$	1.66}_{-0.04}^{+0.05}$	2.00}_{-2.00}^{+0.70}$	1.60}_{-0.40}^{+0.80}$	9,29	
WASP-13	6025 +or- 21	1.22 +or- 0.12	1.66 +or- 0.08	5.00}_{-1.70}^{+2.60}$	5.70 +or- 0.40	9,137	
WASP-14	6462 +or- 75	1.30 +or- 0.06	1.32}_{-0.07}^{+0.10}$	0.75 +or- 0.25	2.80 +or- 0.57	9,138	
