,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"light_curves[972, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[973, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[973, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[973, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[974, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[974, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[974, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[975, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[975, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[975, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[976, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[976, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[976, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[977, 0]",-0.00,0.00,0.00,0.00,0.00,0.00,13935.00,14978.00,1.00
"light_curves[977, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20005.00,20008.00,1.00
"light_curves[977, 2]",0.00,0.00,0.00,0.00,0.00,0.00,19616.00,20068.00,1.00
"light_curves[978, 0]",-0.00,0.00,-0.00,-0.00,0.00,0.00,20763.00,15092.00,1.00
"light_curves[978, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20007.00,20018.00,1.00
"light_curves[978, 2]",-0.00,0.00,0.00,0.00,0.00,0.00,19664.00,19958.00,1.00
"light_curves[979, 0]",-0.00,0.00,-0.00,-0.00,0.00,0.00,21350.00,16140.00,1.00
"light_curves[979, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20007.00,20018.00,1.00
"light_curves[979, 2]",-0.00,0.00,0.00,0.00,0.00,0.00,19745.00,20055.00,1.00
"light_curves[980, 0]",-0.00,0.00,-0.00,-0.00,0.00,0.00,18222.00,14293.00,1.00
"light_curves[980, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20007.00,20016.00,1.00
"light_curves[980, 2]",-0.00,0.00,0.00,0.00,0.00,0.00,19742.00,20055.00,1.00
"light_curves[981, 0]",-0.00,0.00,-0.00,-0.00,0.00,0.00,21411.00,15794.00,1.00
"light_curves[981, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20007.00,20016.00,1.00
"light_curves[981, 2]",-0.00,0.00,0.00,0.00,0.00,0.00,19740.00,20051.00,1.00
"light_curves[982, 0]",-0.00,0.00,-0.00,-0.00,0.00,0.00,23213.00,16202.00,1.00
"light_curves[982, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20007.00,20013.00,1.00
"light_curves[982, 2]",-0.00,0.00,0.00,0.00,0.00,0.00,19739.00,20039.00,1.00
"light_curves[983, 0]",-0.00,0.00,-0.00,-0.00,0.00,0.00,23809.00,16066.00,1.00
"light_curves[983, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20007.00,20011.00,1.00
"light_curves[983, 2]",-0.00,0.00,0.00,0.00,0.00,0.00,19737.00,20035.00,1.00
"light_curves[984, 0]",-0.00,0.00,-0.00,-0.00,0.00,0.00,24021.00,16793.00,1.00
"light_curves[984, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20007.00,20011.00,1.00
"light_curves[984, 2]",-0.00,0.00,0.00,0.00,0.00,0.00,19732.00,20035.00,1.00
"light_curves[985, 0]",-0.00,0.00,-0.00,-0.00,0.00,0.00,24399.00,17328.00,1.00
"light_curves[985, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20007.00,20011.00,1.00
"light_curves[985, 2]",-0.00,0.00,0.00,0.00,0.00,0.00,19729.00,20027.00,1.00
"light_curves[986, 0]",-0.00,0.00,-0.00,-0.00,0.00,0.00,24994.00,17455.00,1.00
"light_curves[986, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20007.00,20011.00,1.00
"light_curves[986, 2]",-0.00,0.00,0.00,0.00,0.00,0.00,19687.00,20019.00,1.00
"light_curves[987, 0]",-0.00,0.00,-0.00,-0.00,0.00,0.00,25568.00,17429.00,1.00
"light_curves[987, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20007.00,20011.00,1.00
"light_curves[987, 2]",-0.00,0.00,0.00,0.00,0.00,0.00,19686.00,20015.00,1.00
"light_curves[988, 0]",-0.00,0.00,-0.00,-0.00,0.00,0.00,25871.00,17593.00,1.00
"light_curves[988, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20007.00,20011.00,1.00
"light_curves[988, 2]",-0.00,0.00,0.00,0.00,0.00,0.00,19686.00,20011.00,1.00
"light_curves[989, 0]",-0.00,0.00,-0.00,-0.00,0.00,0.00,25800.00,17495.00,1.00
"light_curves[989, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20007.00,20011.00,1.00
"light_curves[989, 2]",-0.00,0.00,0.00,0.00,0.00,0.00,19688.00,19986.00,1.00
"light_curves[990, 0]",-0.00,0.00,-0.00,-0.00,0.00,0.00,25422.00,17567.00,1.00
"light_curves[990, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20007.00,20011.00,1.00
"light_curves[990, 2]",-0.00,0.00,0.00,0.00,0.00,0.00,19685.00,19982.00,1.00
"light_curves[991, 0]",-0.00,0.00,-0.00,-0.00,0.00,0.00,24851.00,17011.00,1.00
"light_curves[991, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20007.00,20011.00,1.00
"light_curves[991, 2]",-0.00,0.00,0.00,0.00,0.00,0.00,19684.00,19978.00,1.00
"light_curves[992, 0]",-0.00,0.00,-0.00,-0.00,0.00,0.00,24230.00,16484.00,1.00
"light_curves[992, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20007.00,20011.00,1.00
"light_curves[992, 2]",-0.00,0.00,0.00,0.00,0.00,0.00,19733.00,19969.00,1.00
"light_curves[993, 0]",-0.00,0.00,-0.00,-0.00,0.00,0.00,23651.00,16174.00,1.00
"light_curves[993, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20007.00,20011.00,1.00
"light_curves[993, 2]",-0.00,0.00,0.00,0.00,0.00,0.00,19734.00,19961.00,1.00
"light_curves[994, 0]",-0.00,0.00,-0.00,-0.00,0.00,0.00,22809.00,15671.00,1.00
"light_curves[994, 1]",-0.00,0.00,0.00,0.00,0.00,0.00,20011.00,20000.00,1.00
"light_curves[994, 2]",-0.00,0.00,0.00,0.00,0.00,0.00,19765.00,19957.00,1.00
"light_curves[995, 0]",-0.00,0.00,-0.00,-0.00,0.00,0.00,22598.00,15510.00,1.00
"light_curves[995, 1]",-0.00,0.00,0.00,0.00,0.00,0.00,20011.00,20000.00,1.00
"light_curves[995, 2]",-0.00,0.00,0.00,0.00,0.00,0.00,19760.00,19952.00,1.00
"light_curves[996, 0]",-0.00,0.00,-0.00,-0.00,0.00,0.00,22543.00,15513.00,1.00
"light_curves[996, 1]",-0.00,0.00,0.00,0.00,0.00,0.00,20011.00,20000.00,1.00
"light_curves[996, 2]",-0.00,0.00,0.00,0.00,0.00,0.00,19760.00,19944.00,1.00
"light_curves[997, 0]",-0.00,0.00,-0.00,-0.00,0.00,0.00,22632.00,15411.00,1.00
"light_curves[997, 1]",-0.00,0.00,0.00,0.00,0.00,0.00,20011.00,20000.00,1.00
"light_curves[997, 2]",-0.00,0.00,0.00,0.00,0.00,0.00,19758.00,19936.00,1.00
"light_curves[998, 0]",-0.00,0.00,-0.00,-0.00,0.00,0.00,22882.00,15962.00,1.00
"light_curves[998, 1]",-0.00,0.00,0.00,0.00,0.00,0.00,20008.00,20000.00,1.00
"light_curves[998, 2]",-0.00,0.00,0.00,0.00,0.00,0.00,19784.00,19936.00,1.00
"light_curves[999, 0]",-0.00,0.00,-0.00,-0.00,0.00,0.00,23267.00,15409.00,1.00
"light_curves[999, 1]",-0.00,0.00,0.00,0.00,0.00,0.00,20008.00,20000.00,1.00
"light_curves[999, 2]",-0.00,0.00,0.00,0.00,0.00,0.00,19780.00,19936.00,1.00
"light_curves[1000, 0]",-0.00,0.00,-0.00,-0.00,0.00,0.00,23771.00,15691.00,1.00
"light_curves[1000, 1]",-0.00,0.00,0.00,0.00,0.00,0.00,20008.00,20000.00,1.00
"light_curves[1000, 2]",-0.00,0.00,0.00,0.00,0.00,0.00,19724.00,19927.00,1.00
"light_curves[1001, 0]",-0.00,0.00,-0.00,-0.00,0.00,0.00,24361.00,16338.00,1.00
"light_curves[1001, 1]",-0.00,0.00,0.00,0.00,0.00,0.00,20008.00,20000.00,1.00
"light_curves[1001, 2]",-0.00,0.00,0.00,0.00,0.00,0.00,19719.00,19927.00,1.00
"light_curves[1002, 0]",-0.00,0.00,-0.00,-0.00,0.00,0.00,24955.00,17387.00,1.00
"light_curves[1002, 1]",-0.00,0.00,0.00,0.00,0.00,0.00,20008.00,20000.00,1.00
"light_curves[1002, 2]",-0.00,0.00,0.00,0.00,0.00,0.00,19717.00,19923.00,1.00
"light_curves[1003, 0]",-0.00,0.00,-0.00,-0.00,0.00,0.00,25431.00,17584.00,1.00
"light_curves[1003, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1003, 2]",-0.00,0.00,0.00,0.00,0.00,0.00,19716.00,19910.00,1.00
"light_curves[1004, 0]",-0.00,0.00,-0.00,-0.00,0.00,0.00,25637.00,17758.00,1.00
"light_curves[1004, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1004, 2]",-0.00,0.00,0.00,0.00,0.00,0.00,19716.00,19901.00,1.00
"light_curves[1005, 0]",-0.00,0.00,-0.00,-0.00,0.00,0.00,25436.00,17257.00,1.00
"light_curves[1005, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1005, 2]",-0.00,0.00,0.00,0.00,0.00,0.00,19711.00,19901.00,1.00
"light_curves[1006, 0]",-0.00,0.00,-0.00,-0.00,0.00,0.00,24834.00,17055.00,1.00
"light_curves[1006, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1006, 2]",-0.00,0.00,0.00,0.00,0.00,0.00,19708.00,19897.00,1.00
"light_curves[1007, 0]",-0.00,0.00,-0.00,-0.00,0.00,0.00,24030.00,17024.00,1.00
"light_curves[1007, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1007, 2]",-0.00,0.00,0.00,0.00,0.00,0.00,19704.00,19892.00,1.00
"light_curves[1008, 0]",-0.00,0.00,-0.00,-0.00,0.00,0.00,23350.00,16807.00,1.00
"light_curves[1008, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1008, 2]",-0.00,0.00,0.00,0.00,0.00,0.00,19704.00,19879.00,1.00
"light_curves[1009, 0]",-0.00,0.00,-0.00,-0.00,0.00,0.00,23069.00,16592.00,1.00
"light_curves[1009, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1009, 2]",-0.00,0.00,0.00,0.00,0.00,0.00,19739.00,19879.00,1.00
"light_curves[1010, 0]",-0.00,0.00,-0.00,-0.00,0.00,0.00,23126.00,15929.00,1.00
"light_curves[1010, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1010, 2]",-0.00,0.00,0.00,0.00,0.00,0.00,19775.00,19866.00,1.00
"light_curves[1011, 0]",-0.00,0.00,-0.00,-0.00,0.00,0.00,22991.00,16738.00,1.00
"light_curves[1011, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1011, 2]",-0.00,0.00,0.00,0.00,0.00,0.00,19774.00,19857.00,1.00
"light_curves[1012, 0]",-0.00,0.00,-0.00,-0.00,0.00,0.00,22274.00,15846.00,1.00
"light_curves[1012, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1012, 2]",-0.00,0.00,0.00,0.00,0.00,0.00,19775.00,19844.00,1.00
"light_curves[1013, 0]",-0.00,0.00,-0.00,-0.00,0.00,0.00,20823.00,14993.00,1.00
"light_curves[1013, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1013, 2]",-0.00,0.00,0.00,0.00,0.00,0.00,19775.00,19834.00,1.00
"light_curves[1014, 0]",-0.00,0.00,-0.00,-0.00,0.00,0.00,14200.00,12867.00,1.00
"light_curves[1014, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1014, 2]",-0.00,0.00,0.00,0.00,0.00,0.00,19777.00,19810.00,1.00
"light_curves[1015, 0]",-0.00,0.00,-0.00,-0.00,0.00,0.00,24870.00,15987.00,1.00
"light_curves[1015, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1015, 2]",-0.00,0.00,0.00,0.00,0.00,0.00,19740.00,19797.00,1.00
"light_curves[1016, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1016, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1016, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1017, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1017, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1017, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1018, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1018, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1018, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1019, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1019, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1019, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1020, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1020, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1020, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1021, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1021, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1021, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1022, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1022, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1022, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1023, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1023, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1023, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1024, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1024, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1024, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1025, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1025, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1025, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1026, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1026, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1026, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1027, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1027, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1027, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1028, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1028, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1028, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1029, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1029, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1029, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1030, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1030, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1030, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1031, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1031, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1031, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1032, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1032, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1032, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1033, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1033, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1033, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1034, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1034, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1034, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1035, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1035, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1035, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1036, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1036, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1036, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1037, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1037, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1037, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1038, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1038, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1038, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1039, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1039, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1039, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1040, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1040, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1040, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1041, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1041, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1041, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1042, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1042, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1042, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1043, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1043, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1043, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1044, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1044, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1044, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1045, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1045, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1045, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1046, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1046, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1046, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1047, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1047, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1047, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1048, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1048, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1048, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1049, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1049, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1049, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1050, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1050, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1050, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1051, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1051, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1051, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1052, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1052, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1052, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1053, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1053, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1053, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1054, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1054, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1054, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1055, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1055, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1055, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1056, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1056, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1056, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1057, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1057, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1057, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1058, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1058, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1058, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1059, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1059, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1059, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1060, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1060, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1060, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1061, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1061, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1061, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1062, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1062, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1062, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1063, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1063, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1063, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1064, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1064, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1064, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1065, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1065, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1065, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1066, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1066, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
