,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mean_rv[15],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[16],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[17],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[18],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[19],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[20],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[21],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[22],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[23],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[24],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[25],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[26],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[27],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[28],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[29],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[30],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[31],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[32],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[33],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[34],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[35],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[36],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[37],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[38],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[39],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[40],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[41],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[42],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[43],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[44],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[45],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[46],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[47],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[48],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[49],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[50],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[51],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[52],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[53],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[54],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[55],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[56],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[57],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
mean_rv[58],4.62,198.20,-371.35,371.79,1.38,1.40,20684.00,14781.00,1.00
K[0],5.05,0.17,4.73,5.38,0.00,0.00,23200.00,14451.00,1.00
K[1],4.75,0.19,4.40,5.11,0.00,0.00,24137.00,14442.00,1.00
K[2],3.66,0.25,3.19,4.14,0.00,0.00,20513.00,12870.00,1.00
"light_curves[0, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[0, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[0, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[1, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[2, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[2, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[2, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[3, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[3, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[3, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[4, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[4, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[4, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[5, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[5, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[5, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[6, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[6, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[6, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[7, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[7, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[7, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[8, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[8, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[8, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[9, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[9, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[9, 2]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[10, 0]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
"light_curves[10, 1]",0.00,0.00,0.00,0.00,0.00,0.00,20000.00,20000.00,
