Planet,a/R,e_a/R,E_a/R,m,e_m,E_m,r,e_r,E_r,e,e_e,E_e,lambda,e_lambda,E_lambda,i,e_i,E_i,psi,e_psi,E_psi,Refs,SimbadName,_RA,_DE
TOI-451b        ,6.93,0.16,0.11,0.02,0.02,0.02,0.17,0.01,0.01,0,0,0,,    ,    ,69,8,11,,    ,    ,140,TOI-451b       ,62.96645,-37.93978
TOI-811b        ,31.6,1.2,1.3,59.9,8.6,13,1.26,0.06,0.06,0.509,0.075,0.075,,    ,    ,19.6,1.8,3.6,,    ,    ,141,TOI-811b       ,88.03024,-32.92518
TOI-852b        ,7.92,0.23,0.24,53.7,1.3,1.4,0.83,0.04,0.04,0.004,0.003,0.004,,    ,    ,73.1,9.9,11.9,,    ,    ,141,TOI-852b       ,24.74027,-7.2809
TOI-942b        ,10.12,0.18,0.13,0,0,2.6,0.43,0,0.02,0,0,0,1,33,41,76,11,9,2,33,27,"139,142",TOI-942b       ,76.64955,-20.2456
TRAPPIST-1b     ,20.04,0.69,0.72,0,0,0,0.1,0,0,0,0,0.081,15,30,26,90,17.4,0,23.3,13.6,17,"143,2             ",TRAPPIST-1b    ,346.62237,-5.0414
TrES-1b         ,10.37,0.33,0.33,0.76,0.05,0.05,1.1,0.04,0.04,0,0,0.012,30,21,21,     ,    ,    ,,    ,    ,"9,144",TrES-1b        ,286.04105,36.63262
TrES-2b         ,7.96,0.21,0.21,1.21,0.05,0.05,1.19,0.02,0.02,0,0,0.003,9,12,12,     ,    ,    ,,    ,    ,"9,145",TrES-2b        ,286.80849,49.31641
TrES-4b         ,6.13,0.28,0.28,0.49,0.04,0.04,1.84,0.09,0.08,0,0,0.015,6.3,4.7,4.7,     ,    ,    ,,    ,    ,"9,146",TrES-4b        ,268.30437,37.21183
V1298 Tau b     ,26.06,0.46,0.46,0,0,0.38,0.92,0.05,0.05,0,0.3,0.3,4,10,7,51,21,25,8,7,4,"147,148,22,149    ",V1298 Tau b    ,61.33163,20.1571
WASP-3b         ,5.05,0.2,0.25,1.77,0.09,0.11,1.35,0.06,0.06,0,0,0.006,5,5,6,     ,    ,    ,,    ,    ,"9,150,151,152,153",WASP-3b        ,278.63177,35.66152
WASP-4b         ,5.48,0.15,0.15,1.25,0.05,0.05,1.36,0.03,0.03,0,0,0.003,1,14,12,90,27.3,0,20,11.1,15.2,"9,40,2,154        ",WASP-4b        ,353.56286,-42.0614
WASP-5b         ,5.42,0.22,0.22,1.59,0.05,0.05,1.18,0.06,0.06,0,0,0.012,12.1,10,8,71.5,7.5,17,22.2,10.3,11.5,"9,154,2           ",WASP-5b        ,359.34899,-41.27715
WASP-6b         ,10.3,0.4,0.4,0.48,0.03,0.03,1.23,0.04,0.04,0,0,0.07,7.2,3.7,3.7,62.3,10.4,19.5,13.1,3.8,22.9,"9,155,2,156       ",WASP-6b        ,348.15724,-22.67397
WASP-7b         ,9.08,0.56,0.56,0.98,0.13,0.13,1.37,0.09,0.09,0,0,0.049,86,6,6,51.4,14,26.1,87.1,5.3,5.1,"9,157,2           ",WASP-7b        ,311.04259,-39.22524
WASP-8b         ,18,0.43,0.43,2.22,0.05,0.05,1.17,0.03,0.03,0.306,0.005,0.005,143,1.6,1.5,36.3,3.6,4,118.2,3,3.2,"9,158,2,159       ",WASP-8b        ,359.9003,-35.03137
WASP-11b        ,12.19,0.31,0.31,0.49,0.02,0.02,0.99,0.02,0.02,0,0,0.03,7,5,5,     ,    ,    ,,    ,    ,"9,48              ",WASP-11b       ,47.36893,30.67357
WASP-12b        ,3.04,0.1,0.11,1.47,0.07,0.08,1.9,0.04,0.06,0,0,0.02,59,20,15,8.3,3.1,3.8,85.5,7.8,6.8,"9,27,2            ",WASP-12b       ,97.63665,29.6723
WASP-13b        ,7.23,0.42,0.42,0.51,0.06,0.06,1.53,0.08,0.08,0,0,0.016,8,12,13,     ,    ,    ,,    ,    ,"9,160",WASP-13b       ,140.10298,33.88242
WASP-14b        ,6.04,0.37,0.46,7.59,0.23,0.24,1.24,0.1,0.12,0.078,0.001,0.001,33.1,7.4,7.4,     ,    ,    ,,    ,    ,"9,161,162",WASP-14b       ,218.27649,21.89472
WASP-15b        ,7.3,0.23,0.23,0.59,0.02,0.02,1.41,0.05,0.05,0,0,0.055,139.6,4.3,5.2,     ,    ,    ,,    ,    ,"9,154",WASP-15b       ,208.92797,-32.15962
WASP-16b        ,8.21,0.35,0.35,0.83,0.04,0.04,1.22,0.04,0.04,0,0,0.018,4.2,11,13.9,     ,    ,    ,,    ,    ,"9,163,27          ",WASP-16b       ,214.68301,-20.27551
WASP-17b        ,6.98,0.23,0.23,0.48,0.03,0.03,1.93,0.05,0.05,0,0,0.02,148.5,4.2,5.4,     ,    ,    ,,    ,    ,"9,154,164,165,166",WASP-17b       ,239.96229,-28.06175
WASP-18b        ,3.52,0.09,0.09,10.52,0.32,0.32,1.2,0.03,0.03,0.008,0.001,0.001,13,7,7,     ,    ,    ,,    ,    ,"9,27              ",WASP-18b       ,24.35431,-45.67788
WASP-19b        ,3.45,0.07,0.07,1.14,0.04,0.04,1.41,0.02,0.02,0,0,0.006,1,1.2,1.2,90,29.2,0,3.7,2.3,28,"9,167,2,27,168,169",WASP-19b       ,148.41699,-45.65918
WASP-20b        ,10.13,0.38,0.38,0.4,0.05,0.05,1.38,0.06,0.06,0,0,0.039,12.7,4.2,4.2,     ,    ,    ,,    ,    ,"9,170",WASP-20b       ,5.16055,-23.93578
WASP-21b        ,9.45,0.51,0.51,0.28,0.02,0.02,1.16,0.05,0.05,0,0,0.048,8,27,26,     ,    ,    ,,    ,    ,"9,171",WASP-21b       ,347.49272,18.39608
WASP-22b        ,8.38,0.26,0.26,0.62,0.02,0.03,1.2,0.03,0.05,0,0,0.021,22,16,16,     ,    ,    ,,    ,    ,"9,172",WASP-22b       ,52.81803,-23.81968
WASP-24b        ,5.94,0.22,0.22,1.11,0.05,0.05,1.3,0.05,0.05,0,0,0.005,4.7,4,4,     ,    ,    ,,    ,    ,"9,36              ",WASP-24b       ,227.21557,2.34332
WASP-25b        ,11.22,0.26,0.26,0.6,0.05,0.05,1.25,0.03,0.03,0,0,0.083,14.6,6.7,6.7,     ,    ,    ,,    ,    ,"9,163",WASP-25b       ,195.3599,-27.5222
WASP-26b        ,6.64,0.21,0.21,1.02,0.03,0.03,1.22,0.05,0.05,0,0,0.004,34,36,26,     ,    ,    ,,    ,    ,"9,27              ",WASP-26b       ,4.60292,-15.2673
WASP-28b        ,8.78,0.28,0.28,0.89,0.06,0.06,1.22,0.03,0.03,0,0,0.058,8,18,18,     ,    ,    ,,    ,    ,"9,170,173",WASP-28b       ,353.61617,-1.58003
WASP-30b        ,8.57,0.17,0.22,62.5,1.2,1.2,0.95,0.02,0.03,0,0,0.004,7,27,19,     ,    ,    ,,    ,    ,174,WASP-30b       ,358.40856,-10.11809
WASP-31b        ,8,0.22,0.22,0.48,0.03,0.03,1.55,0.05,0.05,0,0,0.047,2.8,3.1,3.1,     ,    ,    ,,    ,    ,"9,163,27          ",WASP-31b       ,169.43899,-19.05478
WASP-32b        ,7.63,0.35,0.35,3.6,0.07,0.07,1.18,0.07,0.07,0,0,0.004,10.5,6.5,6.4,54.5,11,17.9,35.8,17.2,10.2,"9,175,2,160       ",WASP-32b       ,3.9617,1.20044
WASP-33b        ,3.69,0.1,0.05,2.16,0.2,0.2,1.68,0.03,0.02,0,      ,      ,112.9,0.2,0.2,37.5,5.7,6.8,104.1,2.8,2.8,"176,2,95,177,178  ",WASP-33b       ,36.71274,37.55048
WASP-38b        ,12.15,0.26,0.3,2.69,0.06,0.06,1.09,0.03,0.03,0.028,0.003,0.003,7.5,6.1,4.7,     ,    ,    ,,    ,    ,"9,175,36          ",WASP-38b       ,243.95986,10.03258
WASP-39b        ,11.06,0.32,0.32,0.28,0.03,0.03,1.28,0.04,0.04,0,0,0.048,0,11,11,     ,    ,    ,,    ,    ,"9,28              ",WASP-39b       ,217.32673,-3.4445
WASP-41b        ,9.95,0.18,0.18,0.98,0.03,0.03,1.18,0.02,0.02,0,0,0.12,6,11,11,62,16.5,28,22.6,11.9,28.9,"9,179,2,180       ",WASP-41b       ,190.61873,-30.63987
WASP-43b        ,4.92,0.1,0.09,2.03,0.05,0.05,1.04,0.02,0.02,0,0,0.006,3.5,6.8,6.8,90,27.8,0,12.7,7.7,19.7,"9,46,2            ",WASP-43b       ,154.90837,-9.80628
WASP-47b        ,9.67,0.15,0.15,1.14,0.02,0.02,1.12,0.01,0.01,0.028,0.002,0.004,0,24,24,     ,    ,    ,,    ,    ,181,WASP-47b       ,331.20303,-12.01889
WASP-52b        ,7.23,0.21,0.21,0.43,0.02,0.02,1.25,0.03,0.03,0,0,0.092,1.1,1.1,1.1,90,11.1,0,2.8,1.8,9.8,"9,182,2,183,184   ",WASP-52b       ,348.49482,8.76127
