# Column descriptions,,,,,,,,,,,,
# time - UTC,,,,,,,,,,,,
# observation_id - CPS internal ID,,,,,,,,,,,,
# tel - Instrument,,,,,,,,,,,,
# bjd - BJD_TDB,,,,,,,,,,,,
# mnvel - Relative RV [m/s],,,,,,,,,,,,
# errvel - RV uncertainty [m/s],,,,,,,,,,,,
# cts - Counts in raw 1D spectrum near 5500 Angstroms [e-],,,,,,,,,,,,
# chi - Median reduced chi-squared for the observation over all chunks,,,,,,,,,,,,
# bc - Barycentric velocity at flux-weighted midpoint [m/s],,,,,,,,,,,,
# svalue - Ca_HK S value,,,,,,,,,,,,
# svalue_err - Ca_HK S value uncertainty,,,,,,,,,,,,
# trv - Telluric calibrated absolute RV [km/s],,,,,,,,,,,,
# trv_err - Uncertainty in telluric-calibrated absolute RV [km/s],,,,,,,,,,,,
time,observation_id,tel,jd,mnvel,errvel,cts,mdchi,bc,svalue,svalue_err,trv,trv_err
45:55.4,j337.99,hires_j,2458679.824,29.05074315,1.76347816,6050,1.111195683,2322.67,0.1327,0.001,-31.1,0.1
23:17.7,j338.107,hires_j,2458709.975,20.36051128,2.250486135,5816,1.103721976,-3869.748,0.1298,0.001,-31.37,0.1
10:26.9,j339.281,hires_j,2458714.882,40.69827085,1.798147082,6335,1.137484789,-4642.63,0.1105,0.001,-31.29,0.1
49:06.7,j341.101,hires_j,2458722.951,56.44543627,2.078085184,6191,1.077771306,-6198.226,0.07923,0.001,-31.45,0.1
39:21.8,j368.110,hires_j,2458999.986,-76.31304107,1.732989907,6204,1.100583434,9464.499,0.1079,0.001,-31.36,0.1
47:46.1,j370.298,hires_j,2459007.95,-29.6943741,1.948128939,6024,1.09507525,8500.55,0.09889,0.001,-31.12,0.1
03:12.7,j374.294,hires_j,2459026.002,24.76017257,1.730038166,6227,1.083915472,5550.019,0.1049,0.001,-31.14,0.1
15:34.4,j375.292,hires_j,2459029.011,4.885486956,1.731300473,6277,1.098320365,5000.789,0.09449,0.001,-31.69,0.1
47:31.2,j377.521,hires_j,2459040.991,-63.33905549,1.896228194,6137,1.096831083,2815.012,0.1157,0.001,-31.46,0.1
33:12.5,j380.78,hires_j,2459058.023,-8.523142486,2.065299034,5998,1.114160419,-584.157,0.1117,0.001,-31.35,0.1
59:37.3,j384.305,hires_j,2459079,-6.916838792,1.997973084,6184,1.106188059,-4601.682,0.12,0.001,-31.48,0.1
20:33.5,j389.686,hires_j,2459117.931,-51.14340784,1.873352051,6054,1.091011524,-10369.615,0.1131,0.001,-31.64,0.1
34:06.3,j416.892,hires_j,2459386.899,-38.04749749,1.974656701,6033,1.089559674,6488.021,0.1108,0.001,-31.64,0.1
55:44.0,j421.724,hires_j,2459415.914,-33.93460215,1.951853156,6064,1.095440984,1065.469,0,0.001,-31.23,0.1
27:58.7,j434.279,hires_j,2459503.853,-49.56005527,2.103170633,5812,1.088387847,-11796.575,0.1175,0.001,-31.45,0.1
24:19.7,j471.297,hires_j,2459748.975,-50.1444529,2.173145533,5852,1.087446094,6879.009,0.08416,0.001,-31.52,0.1
15:11.3,j526.88,hires_j,2460179.886,-33.00701998,1.840296507,5958,1.0918715,-5376.324,0.105,0.001,,
19:12.8,j529.286,hires_j,2460203.847,15.42618252,1.892063022,6015,1.073850155,-9112.048,0.1336,0.001,-31.43,0.1
